Year,Name,Performance,Seed,Snake,ESPN BPI,ESPN PVA,AP PRE,AP POST,COACH PRE,COACH POST,Win Pct,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,FGM,FGA,FG%,OPP FG,OPP FGA,OPP FG%,3FG,3PG,3FGA,3FG%,Opp 3FGA,Opp 3FG,Opp 3FG%,FT,FTA,FT%,REB,RPG,OPP REB,OPP RPG,REB MAR,AST,APG,TO,TOPG,AST/TO Ratio,Opp TO,TO Diff,BLKS,BKPG,ST,STPG,Fouls,PFPG,DQ
2015,Eastern Wash.,2,13,53,55.7,1.8,0,0,0,0,76.5,2746,80.8,2504,73.6,7.1,951,1981,48,876,1953,44.9,335,9.9,832,40.26442308,697,268,38.5,509,704,72.3,1155,34,1149,33.8,0.2,448,13.2,367,10.8,1.22,417,1.5,165,4.9,216,6.4,603,17.7,9
2015,Georgetown,3,4,16,78.9,10.4,0,177,0,69,67.7,2192,70.7,2004,64.6,6.1,750,1650,45.5,650,1614,40.3,181,5.8,521,34.74088292,566,203,35.9,511,728,70.2,1089,35.1,1003,32.4,2.8,408,13.2,392,12.6,1.04,420,0.9,152,4.9,240,7.7,626,20.2,14
2015,Georgia,2,10,40,76.4,9.3,0,0,0,0,65.6,2187,68.3,2054,64.2,4.2,728,1673,43.5,707,1826,38.7,180,5.6,524,34.35114504,647,200,30.9,551,800,68.9,1217,38,1082,33.8,4.2,403,12.6,408,12.8,0.99,355,-1.7,149,4.7,179,5.6,589,18.4,14
2015,Georgia St.,3,14,55,65.8,5.2,0,0,0,0,72.7,2375,72,2053,62.2,9.8,854,1778,48,667,1749,38.1,163,4.9,492,33.1300813,735,237,32.2,504,693,72.7,1082,32.8,1102,33.4,-0.6,450,13.6,352,10.7,1.28,500,4.5,139,4.2,300,9.1,607,18.4,12
2015,Gonzaga,5,2,7,89.1,16.6,840,1229,423,597,94.1,2690,79.1,2071,60.9,18.2,973,1856,52.4,737,1917,38.4,242,7.1,593,40.80944351,589,191,32.4,502,725,69.2,1286,37.8,1041,30.6,7.2,561,16.5,359,10.6,1.56,394,1,114,3.4,211,6.2,580,17.1,6
2015,Hampton,2,16,68,35.9,-4.6,0,0,0,0,50,2290,67.4,2308,67.9,-0.5,779,1900,41,767,1863,41.2,190,5.6,622,30.54662379,571,194,34,542,836,64.8,1261,37.1,1234,36.3,0.8,370,10.9,483,14.2,0.77,478,-0.1,138,4.1,226,6.6,730,21.5,16
2015,Harvard,2,13,52,65.8,5.2,98,0,0,0,75.9,1861,64.2,1660,57.2,6.9,650,1493,43.5,587,1471,39.9,141,4.9,399,35.33834586,486,159,32.7,420,589,71.3,999,34.4,891,30.7,3.7,375,12.9,342,11.8,1.1,368,0.9,133,4.6,204,7,456,15.7,6
2015,Indiana,2,10,37,72.5,7.7,0,0,0,0,60.6,2557,77.5,2357,71.4,6.1,899,1930,46.6,875,1925,45.5,308,9.3,764,40.31413613,591,194,32.8,451,631,71.5,1187,36,1083,32.8,3.2,463,14,379,11.5,1.22,357,-0.7,105,3.2,167,5.1,580,17.6,8
2015,Iowa,3,7,27,74.9,8.6,0,0,56,0,65.6,2221,69.4,1980,61.9,7.5,758,1776,42.7,701,1788,39.2,181,5.7,545,33.21100917,652,211,32.4,524,703,74.5,1206,37.7,1072,33.5,4.2,460,14.4,361,11.3,1.27,400,1.2,150,4.7,211,6.6,508,15.9,5
2015,Iowa St.,2,3,9,81.8,11.9,781,1043,323,504,75.8,2586,78.4,2286,69.3,9.1,916,1908,48,842,2012,41.8,257,7.8,703,36.55761024,697,245,35.2,497,714,69.6,1184,35.9,1144,34.7,1.2,534,16.2,364,11,1.47,427,1.9,124,3.8,209,6.3,512,15.5,6
2015,Kansas,3,2,8,85.3,13.9,1346,995,654,482,76.5,2421,71.2,2199,64.7,6.5,822,1869,44,780,1977,39.5,198,5.8,528,37.5,631,195,30.9,579,804,72,1290,37.9,1166,34.3,3.6,451,13.3,435,12.8,1.04,398,-1.1,171,5,222,6.5,599,17.6,8
