Year,Name,Performance,Seed,Snake,RPI,SOS,LRPI,OFFQ,DEFQ,ASM,ESPN BPI,ESPN PVA,AP PRE,AP POST,COACH PRE,COACH POST,Win Pct,PPG,OPP PPG,SCR MAR,FG%,OPP FG%,3PG,3FG%,Opp 3FG%,FT%,RPG,OPP RPG,REB MAR,APG,TOPG,AST/TO Ratio,TO Diff,BKPG,STPG,PFPG,DQ
2012,Saint Louis,3,9,36,0.5964,101,46,1.1,11.3,12.4,79.9,11.1,0,0,0,0,78.1,69.2,57.5,11.7,45.2,41.1,7.1,36.2,32,71.6,32.8,31.2,1.7,13.8,11.2,1.23,3.7,3,7,16.9,10
2012,San Diego St.,2,6,24,0.601,67,15,3.8,3.7,7.6,73.5,8.2,1,223,0,99,78.8,71.2,63.2,8,45.6,40,5.7,34.1,33.8,70,37.1,32.3,4.8,12.4,12.6,0.98,0.2,2.3,5.6,15.9,9
2012,South Dakota St.,2,14,56,0.5737,213,91,7.2,1.2,8.4,66.6,5.6,0,0,0,0,79.4,77.3,66.5,10.8,46.9,44.9,8.1,39.3,32.3,73,34.5,32.1,2.4,14.2,10.5,1.36,2.5,1.9,6.7,16.2,4
2012,South Fla.,3,12,47,0.5739,36,42,-6.9,11.2,4.3,69.4,6.6,0,0,0,0,60.6,59.2,56.9,2.4,43.6,38.8,4.7,34.84680851,29.7,70.5,34.3,30.6,3.7,11.8,13.7,0.87,-2.5,3.8,5.5,15.3,7
2012,Southern Miss.,2,9,35,0.6101,56,41,5.3,1,6.3,71.7,7.5,0,0,0,0,75.8,71.6,64.9,6.7,41.6,44.2,6.3,35.8,35.2,73.6,36.7,32.1,4.6,11.1,11.1,1,3.3,3,6,19,16
2012,St. Bonaventure,2,14,58,0.5598,129,72,2.3,3.7,6,69.4,6.6,0,0,0,0,64.5,70.7,65,5.7,45.8,41.6,5.4,34.1,32.4,76,35.7,30.2,5.5,13.8,14.2,0.97,-1.6,4.2,5.7,18.6,9
2012,St. Mary's (CA),2,7,26,0.5996,113,21,5.3,6,11.2,73.9,8.4,6,187,5,268,84.4,74.9,62.4,12.6,47.5,42.7,7.5,35,36.1,72.7,36.6,29.4,7.2,15.9,11.6,1.37,0.3,3.1,7,15.9,4
2012,Syracuse,5,1,2,0.6632,25,5,9.3,7.6,16.9,90.2,17.8,1338,1545,649,730,93.9,74.5,60.4,14.1,46.5,38.5,6.4,34.5,30.6,69.1,35.3,36.7,-1.3,15.8,10.5,1.5,6,7.1,9.6,15.1,9
2012,Temple,2,5,17,0.6136,58,35,8.2,-0.1,8.2,77.3,9.8,69,103,59,24,77.4,76,69.9,6.1,47.2,43.7,7.3,40.2,33.6,71.8,35,33.9,1.1,15.6,12.5,1.25,0.9,4.2,7.2,17.7,7
2012,Texas,2,11,43,0.5747,15,30,6,3.8,9.8,78,10.2,21,0,107,0,60.6,73.1,66.8,6.2,43.6,41.4,5.8,32.7,35.3,73.1,36.2,33.2,3,12.4,12.6,0.98,1.1,3.6,6.8,19.5,22
